drug_name,dili_label,severity,injury_type,evidence_count,clinical_liver_risk_score
dacarbazine,1.0,6.0,B,388,6.0
daclatasvir,,,C,389,
daclizumab,,,C,390,
dacomitinib,,4.0,E*,391,4.0
dactinomycin,1.0,8.0,C,392,8.0
dalbavancin,,,E,393,
dalbavancin hydrochloride,,3.0,,,3.0
dalfampridine,,0.0,E*,394,0.0
dalfopristin,,,E*,395,
dalteparin,,,E,396,
dalteparin sodium,1.0,3.0,,,3.0
danazol,1.0,8.0,A,397,8.0
dantrolene,1.0,,A,398,
dantrolene sodium,,8.0,,,8.0
dapagliflozin,,0.0,D,399,0.0
daprodustat,,,E,400,
dapsone,1.0,3.0,A,401,3.0
daptomycin,1.0,5.0,C,402,5.0
daratumumab,,,E,403,
darbepoetin,,,E,404,
darbepoetin alfa,1.0,0.0,,,0.0
daridorexant,,,E,405,
darifenacin,0.0,,E,406,
darifenacin hydrobromide,,0.0,,,0.0
darolutamide,,4.0,E,407,4.0
darunavir,1.0,8.0,C,408,8.0
dasabuvir,,,B,409,
dasatinib,1.0,4.0,D,410,4.0
dasiglucagon hydrochloride,,0.0,,,0.0
daunorubicin,0.0,,E*,411,
daunorubicin hydrochloride,,0.0,,,0.0
decitabine,0.0,4.0,E*,412,4.0
deferasirox,1.0,7.0,C,413,7.0
deferiprone,,3.0,E*,414,3.0
deferoxamine,1.0,,E,415,
deferoxamine mesylate,,0.0,,,0.0
defibrotide,,,E,416,
defibrotide sodium,,0.0,,,0.0
deflazacort,,0.0,,,0.0
degarelix,,,E,417,
degarelix acetate,,3.0,,,3.0
dehydroepiandrosterone,1.0,,E,418,
delafloxacin,,,E*,419,
delafloxacin meglumine,,3.0,,,3.0
delavirdine,0.0,,E*,420,
delavirdine mesylate,,5.0,,,5.0
demecarium bromide,1.0,,,,
demeclocycline,0.0,,E*,421,
demeclocycline hydrochloride,,3.0,,,3.0
denileukin diftitox,,3.0,E*,422,3.0
denosumab,,,E*,423,
deoxycholic acid,,0.0,,,0.0
dermatan,1.0,8.0,,,8.0
deserpidine,,,X,424,
desflurane,1.0,,C,425,
desipramine,0.0,,D,426,
desipramine hydrochloride,,3.0,,,3.0
desirudin,,,E,427,
desloratadine,1.0,3.0,E*,428,3.0
desmopressin acetate,,3.0,,,3.0
desogestrel,1.0,,A,429,
desvenlafaxine,1.0,,E*,430,
